Test:1
X, Y, Z
(-0,08740234, -0,04589844, -0,9533997)
(-0,05786132, -0,05981446, -0,9346008)
(-0,1201172, -0,02514648, -1,006622)
(-0,1025391, -0,078125, -0,9997863)
(-0,09179688, -0,05029297, -1,001495)
(-0,08886719, -0,02050781, -0,9975891)
(-0,08911133, -0,01123047, -0,9663391)
(-0,09155273, 0,009033203, -0,5688782)
(0,006591796, 0,0144043, -0,008789063)
(-0,02270508, 0,006591796, 0,001708984)
(2,773529, 3,930298, -7,997559)
(-0,0144043, 0,08154297, 0,04174805)
(-0,03051758, 0,05126953, 0,03686523)
(-0,09716797, 0,8371887, -0,06518555)
(-0,0078125, 0,01733398, 0,003173828)
(-0,125, 0,05859375, -0,3461914)
(-0,08422852, -0,001708984, -0,6584778)
(0,02197266, 0,02661133, -1,084259)

Test:8
X, Y, Z
(-0,123291, -0,07470703, -1,081573)
(-0,08837891, -0,07592773, -0,9936829)
(-0,04760742, -0,09643555, -0,9599914)
(-0,04907227, -0,1000977, -1,010284)
(-0,06835938, -0,07250977, -0,9551086)
(-0,0871582, -0,08935547, -1,009064)
(-0,07128906, -0,09082031, -0,9924621)
(-0,1228027, -0,07617188, -0,9875793)
(-0,1062012, -0,07958984, -1,02298)
(-0,08178711, -0,1035156, -0,9953918)
(-0,1481934, -0,1445313, -0,8855286)
(-0,04760742, -0,2087402, -0,3435059)
(0,003662109, 0,009765625, 0,001953125)
(-0,01855469, -0,001708984, -0,05200195)
(-0,01538086, 0,0559082, 0,09838867)
(-0,01660156, 0,006103516, 0,05834961)
(-0,02539063, -0,02026367, 0,07080078)
(-0,9284974, 1,770813, -6,03241)
(-0,1948242, -0,2207031, -2,611664)
(0,3005371, 0,04150391, -1,59259)

Test:9
X, Y, Z
(-0,01000977, -0,07275391, -1,05423)
(-0,09472656, -0,0534668, -1,028351)
(-0,1203613, -0,05395508, -0,9924621)
(-0,1000977, -0,07568359, -1,019318)
(-0,09570313, -0,07226563, -1,046173)
(-0,09814453, -0,07202148, -0,9724426)
(0,03930664, -0,1489258, -0,3894043)
(0,01000977, 0,02124023, -0,01000977)
(0,006103516, 0,01782227, -0,01904297)
(-0,1828613, -3,116058, 2,037903)
(-0,02294922, 0,3112793, 0,09887695)
(-0,1367188, -0,3977051, 0,3154297)
(0,1643066, 0,02514648, -0,04418945)
(4,320679, 1,462921, -4,558014)
(0,02807617, 0,1103516, -0,09399414)
(0,2687988, 0,07421875, -0,6221008)
(-0,01147461, 0,02416992, -0,5935364)
(0,04272461, 0,0480957, -0,9372864)
(0,09179688, 0,03930664, -1,107697)
(0,06518555, 0,04418945, -0,9848938)

Test:10
X, Y, Z
(-0,1303711, -0,03442383, -0,9558411)
(-0,06933594, -0,04345703, -1,081818)
(-0,07250977, -0,06567383, -1,017609)
(-0,06738281, -0,08886719, -0,9497375)
(-0,06347656, -0,09375, -0,9839172)
(-0,08862305, -0,07055664, -1,00882)
(-0,09204102, -0,05810547, -1,018097)
(-0,1403809, -0,04174805, -1,006378)
(-0,0546875, -0,125, -0,9355774)
(-0,05737305, -0,1845703, -0,5259094)
(0,005371094, 0,01977539, -0,005371094)
(-0,01025391, 0,01318359, -0,01049805)
(2,96225, 2,094788, -6,683807)
(-0,0546875, 0,1403809, 0,01879883)
(-0,0625, -0,02441406, 0,07397461)
(-0,06396484, 0,5823059, -0,05297851)
(-0,02270508, 0,01318359, 0,001953125)
(0,05786132, 0,1843262, -1,097443)
(-0,04272461, 0,154541, -1,131378)
(0,02807617, 0,01538086, -0,8049622)

